id,name,generation,effect,short_effect,pokemon
215,innards-out,generation-vii,"When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining.","When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining.",pyukumuku
216,dancer,generation-vii,"Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards.","Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards.","oricorio-baile, oricorio-pom-pom, oricorio-pau, oricorio-sensu"
217,battery,generation-vii,Ally Pokémon's moves have their power increased to 1.3×.,Ally Pokémon's moves have their power increased to 1.3×.,charjabug
218,fluffy,generation-vii,Damage from contact moves is halved.  Damage from Fire moves is doubled.,Damage from contact moves is halved.  Damage from Fire moves is doubled.,"stufful, bewear, wooloo, dubwool, greavard, houndstone"
219,dazzling,generation-vii,"When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail.",Opposing Pokémon cannot use priority attacks.,bruxish
220,soul-heart,generation-vii,This Pokémon's Special Attack rises by one stage every time any Pokémon faints.,This Pokémon's Special Attack rises by one stage every time any Pokémon faints.,"magearna, magearna-original"
221,tangling-hair,generation-vii,"When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage.","When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage.","diglett-alola, dugtrio-alola"
222,receiver,generation-vii,"When an ally faints, this Pokémon gains its Ability.","When an ally faints, this Pokémon gains its Ability.",passimian
223,power-of-alchemy,generation-vii,"When an ally faints, this Pokémon gains its Ability.","When an ally faints, this Pokémon gains its Ability.","grimer-alola, muk-alola"
224,beast-boost,generation-vii,Raises this Pokémon's highest stat by one stage when it faints another Pokémon.,Raises this Pokémon's highest stat by one stage when it faints another Pokémon.,"nihilego, buzzwole, pheromosa, xurkitree, celesteela, kartana, guzzlord, poipole, naganadel, stakataka, blacephalon"
225,rks-system,generation-vii,"Changes this Pokémon's type to match its held Memory.

This ability cannot be copied, replaced, or nullified.  This ability only takes effect for Silvally.",Changes this Pokémon's type to match its held Memory.,silvally
226,electric-surge,generation-vii,"When this Pokémon enters battle, it changes the terrain to electric terrain.","When this Pokémon enters battle, it changes the terrain to Electric Terrain.","tapu-koko, pincurchin"
227,psychic-surge,generation-vii,"When this Pokémon enters battle, it changes the terrain to psychic terrain.","When this Pokémon enters battle, it changes the terrain to Psychic Terrain.","tapu-lele, indeedee-male, indeedee-female"
228,misty-surge,generation-vii,"When this Pokémon enters battle, it changes the terrain to misty terrain.","When this Pokémon enters battle, it changes the terrain to Misty Terrain.","tapu-fini, weezing-galar"
229,grassy-surge,generation-vii,"When this Pokémon enters battle, it changes the terrain to grassy terrain.","When this Pokémon enters battle, it changes the terrain to Grassy Terrain.","tapu-bulu, grookey, thwackey, rillaboom, rillaboom-gmax"
230,full-metal-body,generation-vii,"This Pokémon's stats cannot be lowered by other Pokémon's moves or abilities.  This effect only applies to normal stat modifications and not more exotic effects such as topsy turvy or power swap.

This Ability is not bypassed by mold breaker, teravolt, or turboblaze.",Other Pokémon cannot lower this Pokémon's stats.,solgaleo
231,shadow-shield,generation-vii,"When this Pokémon has full HP, regular damage (not fixed damage!) from moves is halved.

This ability cannot be nullified.","When this Pokémon has full HP, regular damage from moves is halved.",lunala
232,prism-armor,generation-vii,"Super-effective damage this Pokémon takes is reduced to 0.75×.

This Ability is not bypassed by mold breaker, teravolt, or turboblaze.",Reduces super-effective damage to 0.75×.,"necrozma, necrozma-dusk, necrozma-dawn"
233,neuroforce,generation-vii,Increases super-effective damage dealt to 1.25×.,Increases super-effective damage dealt to 1.25×.,necrozma-ultra
234,intrepid-sword,generation-viii,Boosts the Pokémon’s Attack stat the first time the Pokémon enters a battle.,Boosts Attack in battle.,"zacian, zacian-crowned"
235,dauntless-shield,generation-viii,Boosts the Pokémon’s Defense stat the first time the Pokémon enters a battle.,Boosts Defense in battle.,"zamazenta, zamazenta-crowned"
236,libero,generation-viii,Changes the Pokémon’s type to the type of the move it’s about to use. This works only once each time the Pokémon enters battle.,Libero changes the Pokémon's type to that of its previously used attack.,"scorbunny, raboot, cinderace, cinderace-gmax"
237,ball-fetch,generation-viii,"At any time after the first Poké Ball is thrown and fails to catch a Pokémon, at the end of a turn, if a Pokémon with Ball Fetch is on the field and not holding another item, it will pick up the same type of ball as the first one thrown.","If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle.",yamper
238,cotton-down,generation-viii,"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stats of all Pokémon except itself.",When Ignores moves and abilities that draw in moves.,"gossifleur, eldegoss"
239,propeller-tail,generation-viii,Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.,Ignores moves and abilities that draw in moves.,"arrokuda, barraskewda"
240,mirror-armor,generation-viii,Bounces back only the stat-lowering effects that the Pokémon receives.,Reflects any stat-lowering effects.,"corviknight, corviknight-gmax"
241,gulp-missile,generation-viii,"When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack.","If a Cramorant with Gulp Missile uses Surf or Dive, it catches prey and changes its form depending on its remaining HP.","cramorant, cramorant-gulping, cramorant-gorging"
242,stalwart,generation-viii,Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.,Ignores moves and abilities that draw in moves.,"duraludon, archaludon, duraludon-gmax"
243,steam-engine,generation-viii,Raises the user's Speed by three stages when it is hit by a Fire- or Water-type attack. The attack still deals damage.,Boosts the Speed stat drastically when the Pokémon is hit by a Fire- or Water-type move.,"rolycoly, carkol, coalossal, coalossal-gmax"
244,punk-rock,generation-viii,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.,Boosts sound-based moves and halves damage from the same moves.,"toxtricity-amped, toxtricity-low-key, toxtricity-amped-gmax, toxtricity-low-key-gmax"
245,sand-spit,generation-viii,The Pokémon creates a sandstorm when it’s hit by an attack.,Creates a sandstorm when hit by an attack.,"silicobra, sandaconda, sandaconda-gmax"
246,ice-scales,generation-viii,"The Pokémon is protected by ice scales, which halve the damage taken from special moves.",Halves damage from Special moves.,"snom, frosmoth"
247,ripen,generation-viii,Ripens Berries and doubles their effect.,Doubles the effect of berries.,"applin, flapple, appletun, flapple-gmax, appletun-gmax"
248,ice-face,generation-viii,"When an Eiscue that's in its Ice Face form is hit by a physical move, it takes no damage and changes into its Noice Face form. If a hailstorm or snowstorm begins while Eiscue is in its Noice Face form, or if it is sent out in its Noice Face form during hail, it will immediately revert to its Ice Face form.","The Pokémon’s ice head can take a physical attack as a substitute, but the attack also changes the Pokémon’s appearance. The ice will be restored when it snows.","eiscue-ice, eiscue-noice"
249,power-spot,generation-viii," ""The power of moves used by the allies of the Pokémon with Power Spot is increased by 30%.""",Just being next to the Pokémon powers up moves.,stonjourner
250,mimicry,generation-viii,Changes the Pokémon’s type depending on the terrain.,Changes type depending on the terrain.,stunfisk-galar
251,screen-cleaner,generation-viii,"When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon.","Nullifies effects of Light Screen, Reflect, and Aurora Veil.","mr-rime, mr-mime-galar"
252,steely-spirit,generation-viii,Powers up the Steel-type moves of the Pokémon and its allies.,Powers up ally Pokémon's Steel-type moves.,perrserker
253,perish-body,generation-viii,"When the Pokémon with Perish Body is hit with a contact move, both the attacker and the Pokémon with Perish Body will faint in three turns.","When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.",cursola
254,wandering-spirit,generation-viii,The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.,Swaps abilities with opponents on contact.,"runerigus, yamask-galar"
255,gorilla-tactics,generation-viii,Boosts the Pokémon’s Attack stat but only allows the use of the first selected move.,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.,"darmanitan-galar-standard, darmanitan-galar-zen"
256,neutralizing-gas,generation-viii,"While the Pokémon is in the battle, the effects of all other Pokémon’s Abilities will be nullified or will not be triggered.",Neutralizes abilities of all Pokémon in battle.,"koffing, weezing, weezing-galar"
257,pastel-veil,generation-viii,Prevents the Pokémon and its teammates from being poisoned. It also cures teammates of poisoning when it enters the battlefield.,Prevents the Pokémon and its allies from being poisoned.,"ponyta-galar, rapidash-galar"
258,hunger-switch,generation-viii,"The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of every turn.","Causes Morpeko to change its form each turn, alternating between Full Belly Mode and Hangry Mode","morpeko-full-belly, morpeko-hangry"
259,quick-draw,generation-viii,"If a Pokémon with this Ability selects a damaging move, it has a 30% chance of going first in its priority bracket.",Enables the Pokémon to move first occasionally.,slowbro-galar
260,unseen-fist,generation-viii,"If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself.",Contact moves can strike through Protect/Detect.,"urshifu-single-strike, urshifu-rapid-strike, urshifu-single-strike-gmax, urshifu-rapid-strike-gmax"
261,curious-medicine,generation-viii,"When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies.",Resets all stat changes upon entering battlefield.,slowking-galar
262,transistor,generation-viii,Increases the power of Electric-type moves used by this Pokémon by 50%.,Powers up Electric-type moves.,regieleki
263,dragons-maw,generation-viii,Increases the power of Dragon-type moves used by this Pokémon by 50%.,Powers up Dragon-type moves.,regidrago
264,chilling-neigh,generation-viii,"When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat.",Boosts Attack after knocking out a Pokémon.,glastrier
265,grim-neigh,generation-viii,"When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat.",Boosts Special Attack after knocking out a Pokémon.,spectrier
266,as-one-glastrier,generation-viii,,,calyrex-ice
267,as-one-spectrier,generation-viii,,,calyrex-shadow
268,lingering-aroma,generation-ix,Contact with the Pokémon changes the attacker’s Ability to Lingering Aroma.,Contact changes the attacker's Ability to Lingering Aroma.,oinkologne-male
269,seed-sower,generation-ix,Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.,Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.,arboliva
270,thermal-exchange,generation-ix,Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned.,Raises Attack when hit by a Fire-type move. Cannot be burned.,"frigibax, arctibax, baxcalibur"
271,anger-shell,generation-ix,"When an attack causes its HP to drop to half or less, the Pokémon gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats.","When the Pokémon's HP drops below half, Anger Shell lowers its Defense and Special Defense but its Attack, Special Attack and Speed are raised.",klawf
272,purifying-salt,generation-ix,The Pokémon’s pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.,Protects from status conditions and halves damage from Ghost-type moves.,"nacli, naclstack, garganacl"
273,well-baked-body,generation-ix,"The Pokémon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted.","Immune to Fire-type moves, and Defense is sharply boosted.",dachsbun
274,wind-rider,generation-ix,Boosts the Pokémon’s Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves.,"Gives immunity to wind moves, and causes the Pokémon's Attack to increase by one stage when hit by one.","shiftry, bramblin, brambleghast"
275,guard-dog,generation-ix,Boosts the Pokémon’s Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work.,"Boosts Attack if intimidated, and prevents being forced to switch out.","mabosstiff, okidogi"
276,rocky-payload,generation-ix,Increases the power of Rock-type moves used by this Pokémon by 50%.,Powers up Rock-type moves.,bombirdier
277,wind-power,generation-ix,"The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses.","When hit by a wind move, the power of the next Electric-type move it uses is doubled.","wattrel, kilowattrel"
278,zero-to-hero,generation-ix,The Pokémon transforms into its Hero Form when it switches out.,Transforms into its Hero Form when switching out.,"palafin-zero, palafin-zero, palafin-hero, palafin-hero"
279,commander,generation-ix,"When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there.",Goes inside the mouth of an ally Dondozo if one is on the field.,"tatsugiri-curly, tatsugiri-droopy, tatsugiri-stretchy"
280,electromorphosis,generation-ix,"The Pokémon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokémon uses.","When hit by an attack, the power of the next Electric-type move it uses is doubled.",bellibolt
281,protosynthesis,generation-ix,Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.,"Raises highest stat in harsh sunlight, or if holding Booster Energy.","great-tusk, scream-tail, brute-bonnet, flutter-mane, slither-wing, sandy-shocks, roaring-moon, walking-wake, gouging-fire, raging-bolt"
282,quark-drive,generation-ix,Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.,"Raises highest stat on Electric Terrain, or if holding Booster Energy.","iron-treads, iron-bundle, iron-hands, iron-jugulis, iron-moth, iron-thorns, iron-valiant, iron-leaves, iron-boulder, iron-crown"
283,good-as-gold,generation-ix,"A body of pure, solid gold gives the Pokémon full immunity to other Pokémon’s status moves.",Gives immunity to status moves.,gholdengo
284,vessel-of-ruin,generation-ix,The power of the Pokémon’s ruinous vessel lowers the Sp. Atk stats of all Pokémon except itself.,Lowers Special Attack of all Pokémon except itself.,ting-lu
285,sword-of-ruin,generation-ix,The power of the Pokémon’s ruinous sword lowers the Defense stats of all Pokémon except itself.,Lowers Defense of all Pokémon except itself.,chien-pao
286,tablets-of-ruin,generation-ix,The power of the Pokémon’s ruinous wooden tablets lowers the Attack stats of all Pokémon except itself.,Lowers Attack of all Pokémon except itself.,wo-chien
287,beads-of-ruin,generation-ix,The power of the Pokémon’s ruinous beads lowers the Sp. Def stats of all Pokémon except itself.,Lowers Special Defense of all Pokémon except itself.,chi-yu
288,orichalcum-pulse,generation-ix,Turns the sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack stat in harsh sunlight.,"Turns the sunlight harsh when entering battle, and boosts Attack while active.","koraidon, koraidon-limited-build, koraidon-limited-build, koraidon-sprinting-build, koraidon-sprinting-build, koraidon-swimming-build, koraidon-swimming-build, koraidon-gliding-build, koraidon-gliding-build"
289,hadron-engine,generation-ix,Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Sp. Atk stat on Electric Terrain.,"Creates an Electric Terrain when entering battle, and boosts Special Attack while active.","miraidon, miraidon-low-power-mode, miraidon-low-power-mode, miraidon-drive-mode, miraidon-drive-mode, miraidon-aquatic-mode, miraidon-aquatic-mode, miraidon-glide-mode, miraidon-glide-mode"
290,opportunist,generation-ix,"If an opponent’s stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself.",Copies stat boosts by the opponent.,espathra
291,cud-chew,generation-ix,"When the Pokémon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time.",Causes the Pokémon to reuse an already consumed Berry at the end of the next turn.,"farigiraf, tauros-paldea-combat-breed, tauros-paldea-blaze-breed, tauros-paldea-aqua-breed"
292,sharpness,generation-ix,Increases the power of all 'slicing' moves by 50%.,Powers up slicing moves.,"gallade, kleavor, veluza, samurott-hisui"
293,supreme-overlord,generation-ix,"When the Pokémon enters a battle, its Attack and Sp. Atk stats are slightly boosted for each of the allies in its party that have already been defeated.",Attack and Special Attack are boosted for each party Pokémon that has been defeated.,kingambit
294,costar,generation-ix,"When the Pokémon enters a battle, it copies an ally’s stat changes.",Copies ally's stat changes on entering battle.,flamigo
295,toxic-debris,generation-ix,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.,"glimmet, glimmora"
296,armor-tail,generation-ix,The mysterious tail covering the Pokémon’s head makes opponents unable to use priority moves against the Pokémon or its allies.,"Prevents the opponent from using any moves that have priority, such as Quick Attack.",farigiraf
297,earth-eater,generation-ix,"If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage.",Restores HP when hit by a Ground-type move.,orthworm
298,mycelium-might,generation-ix,"The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target.","Status moves go last, but are not affected by the opponent's ability.","toedscool, toedscool, toedscruel, toedscruel"
299,minds-eye,generation-ix,Mind's Eye enables the Pokémon with this Ability to hit Ghost-type Pokémon with damage-dealing Normal- and Fighting-type moves. It also prevents other Pokémon from lowering the Pokémon's accuracy and ignores changes to the opponents' evasion.,"The Pokémon ignores changes to opponents' evasiveness, its accuracy can't be lowered, and it can hit Ghost types with Normal- and Fighting-type moves.",ursaluna-bloodmoon
300,supersweet-syrup,generation-ix,"A sickly sweet scent spreads across the field the first time the Pokémon enters a battle, lowering the evasiveness of opposing Pokémon.","Once per battle, when a Pokémon with Supersweet Syrup enters the battle, it lowers the evasion stat of all adjacent opponents by one stage. ","dipplin, hydrapple"
301,hospitality,generation-ix,"When the Pokémon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP.","When a Pokémon with Hospitality enters a battle, it restores HP for an ally by 25%.","poltchageist, sinistcha"
302,toxic-chain,generation-ix,The power of the Pokémon's toxic chain may badly poison any target the Pokémon hits with a move.,May cause bad poisoning when the Pokémon hits an opponent with a move.,"okidogi, munkidori, fezandipiti"
303,embody-aspect,generation-ix,"Embody Aspect boosts a particular stat, depending on the form of a Terastallized Ogerpon","Embody Aspect boosts a particular stat, depending on the form of a Terastallized Ogerpon",
304,tera-shift,generation-ix,"When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form.","When Terapagos enters the battle, it turns into its Terastal Form until the end of the battle. ",terapagos
305,tera-shell,generation-ix,The Pokémon’s shell contains the powers of each type. All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective.,All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective.,terapagos-terastal
306,teraform-zero,generation-ix,"When Terapagos changes into its Stellar Form, it uses its hidden powers to eliminate all effects of weather and terrain, reducing them to zero.","As soon as Terapagos assumes its Stellar Form, it will immediately neutralize weather and terrain effects. ",terapagos-stellar
307,poison-puppeteer,generation-ix,"When a Pokémon is poisoned by any of Pecharunt's moves, it will also become confused.",Pokémon poisoned by Pecharunt's moves will also become confused.,pecharunt
10001,mountaineer,generation-v,,,
10002,wave-rider,generation-v,,,
10003,skater,generation-v,,,
10004,thrust,generation-v,,,
10005,perception,generation-v,,,
10006,parry,generation-v,,,
10007,instinct,generation-v,,,
10008,dodge,generation-v,,,
10009,jagged-edge,generation-v,,,
10010,frostbite,generation-v,,,
10011,tenacity,generation-v,,,
10012,pride,generation-v,,,
10013,deep-sleep,generation-v,,,
10014,power-nap,generation-v,,,
10015,spirit,generation-v,,,
10016,warm-blanket,generation-v,,,
10017,gulp,generation-v,,,
10018,herbivore,generation-v,,,
10019,sandpit,generation-v,,,
10020,hot-blooded,generation-v,,,
10021,medic,generation-v,,,
10022,life-force,generation-v,,,
10023,lunchbox,generation-v,,,
10024,nurse,generation-v,,,
10025,melee,generation-v,,,
10026,sponge,generation-v,,,
10027,bodyguard,generation-v,,,
10028,hero,generation-v,,,
10029,last-bastion,generation-v,,,
10030,stealth,generation-v,,,
10031,vanguard,generation-v,,,
10032,nomad,generation-v,,,
10033,sequence,generation-v,,,
10034,grass-cloak,generation-v,,,
10035,celebrate,generation-v,,,
10036,lullaby,generation-v,,,
10037,calming,generation-v,,,
10038,daze,generation-v,,,
10039,frighten,generation-v,,,
10040,interference,generation-v,,,
10041,mood-maker,generation-v,,,
10042,confidence,generation-v,,,
10043,fortune,generation-v,,,
10044,bonanza,generation-v,,,
10045,explode,generation-v,,,
10046,omnipotent,generation-v,,,
10047,share,generation-v,,,
10048,black-hole,generation-v,,,
10049,shadow-dash,generation-v,,,
10050,sprint,generation-v,,,
10051,disgust,generation-v,,,
10052,high-rise,generation-v,,,
10053,climber,generation-v,,,
10054,flame-boost,generation-v,,,
10055,aqua-boost,generation-v,,,
10056,run-up,generation-v,,,
10057,conqueror,generation-v,,,
10058,shackle,generation-v,,,
10059,decoy,generation-v,,,
10060,shield,generation-v,,,
